"Source:","/home/jf/projects/aom_driver/aom_driver.kicad_sch"
"Date:","Sat 24 Feb 2024 12:10:03 PM CST"
"Tool:","Eeschema 7.0.10-7.0.10~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","158"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","DKPN","MF","MFPN","Sim.Enable"
"1","43","C1, C2, C3, C4, C5, C6, C11, C12, C13, C14, C15, C16, C17, C18, C20, C22, C23, C24, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C53, C54, C55","2.2u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","1276-2953-1-ND","Samsung Electro-Mechanics","CL21B225KAFNFNE",""
"2","9","C7, C8, C9, C10, C19, C21, C25, C26, C51","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","1276-1099-1-ND","Samsung Electro-Mechanics","CL21B104KACNNNC",""
"3","3","C37, C38, C52","0.1u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","DNP","1276-1099-1-ND","Samsung Electro-Mechanics","CL21B104KACNNNC",""
"4","10","D1, D2, D3, D4, D5, D6, D7, D8, D9, D10","LED","Device:LED","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","","475-LTQ39G-Q1OO-25-1CT-ND","ams-OSRAM USA INC.","LT Q39G-Q1OO-25-1",""
"5","1","DRA1","DIN_Rail_Adapter","Mechanical:DIN_Rail_Adapter","","~","","","Winford Engineering","DINM30",""
"6","1","FL1","RLP-320+","RF_Filter:RLP-158","RF_Mini-Circuits:Mini-Circuits_GP731_LandPatternPL-176","https://www.minicircuits.com/pdfs/RLP-320+.pdf","","3157-RLP-320+CT-ND","Mini-Circuits","RLP-320+",""
"7","1","FL2","RLP-158","RF_Filter:RLP-158","RF_Mini-Circuits:Mini-Circuits_GP731_LandPatternPL-176","https://www.minicircuits.com/pdfs/RLP-158+.pdf","","3157-RLP-158+CT-ND","Mini-Circuits","RLP-158+",""
"8","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_4.3mm_M4_DIN965","~","","","McMaster-Carr","91292A108",""
"9","2","J1, J2","Conn_Coaxial","Connector:Conn_Coaxial","Connector_Coaxial:SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount"," ~","","2057-RF2-143-T-17-50-G-ND","Adam Tech","RF2-143-T-17-50-G",""
"10","1","J3","Screw_Terminal_01x03","Connector:Screw_Terminal_01x03","Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_3-G-5,08_1x03_P5.08mm_Horizontal","~","","277-1107-ND","Phoenix Contact","1757255",""
